,Unnamed: 0,source,title,text,url,date_published,authors
0,0,b1.ro,Un preot filipinez a ținut o slujbă în timp ce mergea pe un hoverboard,"Știm că timpul tău e prețios, așa că nu te vom deranja cu știri care nu sunt știri.Abonează-te la notificările B1.ro și vei primi o selecție riguroasă a celor mai importante știri ale zilei.",https://www.b1.ro/video/un-preot-filipinez-a-tinut-o-slujba-in-timp-ce-mergea-pe-un-hoverboard-48734.html,2020-03-06,
1,1,b1.ro,Consilierul premierului Cătălin Drulă: Mă gândesc şi eu să candidez. Am vorbit cu USR. Nu am luat o decizie,"Consilierul premierului Cătălin Drulă: Mă gândesc şi eu să candidez. Am vorbit cu USR. Nu am luat o decizie
Consilierul premierului pe probleme de infrastructură, Cătălin Drulă, a declarat luni că ia în calcul o eventuală candidatură la alegerile parlamentare, precizând că a discutat despre acest subiect cu reprezentanții USR, dar că nu a luat încă o decizie, informează Digi 24.
„Să fiu racolat, nu aş vrea. Implicarea mea de acum a fost ca o implicarea a generaţiei noastre care nu mai e de acord să lase aceeaşi veche gardă politică să conducă lucrurile. Nici acum n-aş vrea să stau deoparte. Oameni ca noi trebuie să intre în politică. Mă gândesc şi eu şi consider această opţiune. Am vorbit cu USR. Nu am luat o decizie. În perioada următoare. Mi-a fost greu şi să intru în guvern, am abandonat o carieră, am crezut în onestitatea lui Dacian Cioloş”, a spus Cătălin Drulă.
Premierul Dacian Cioloș a declarat de mai multe ori că nu îl deranjează ca miniștrii din cabinetul său să candideze, dar i-a rugat să anunțe din timp, deoarece dacă vor să facă un astfel de pas trebuie să demisioneze.",https://www.b1.ro/stiri/politica/consilierul-premierului-catalin-drula-ma-gandesc-si-eu-sa-candidez-am-vorbit-cu-usr-nu-am-luat-o-decizie-164684.html,2020-03-06,
2,2,b1.ro,"Ludovic Orban: Între PNL și președintele Iohannis va trebui să existe un parteneriat onest, cinstit care să ajute România să meargă înainte","Știm că timpul tău e prețios, așa că nu te vom deranja cu știri care nu sunt știri.Abonează-te la notificările B1.ro și vei primi o selecție riguroasă a celor mai importante știri ale zilei.",https://www.b1.ro/video/ludovic-orban-intre-pnl-si-presedintele-iohannis-va-trebui-sa-existe-un-parteneriat-onest-cinstit-care-sa-ajute-romania-sa-mearga-inainte-65997.html,2020-03-06,
3,3,b1.ro,Rolls Royce va prezenta la Geneva un prototip 100% electric,"Constructorul auto de lux Rolls Royce, deţinut de germanii de la BMW va prezenta la Salonul Auto de la Geneva din martie un prototip 100% electric. Modelul va fi inspirat din design-ul celebrului Phantom şi va rămâne doar la stagiul de experiment.
Compania britanica prin vocea preşedintelui său, Torsten Muller-Otvos, susţine că 102EX va fi primul autoturism 100% electric în domeniul auto de lux. Prin această lansare Rolls Royce vrea să vadă cum pot fi folosite conceptele alternative de propulsie în acest segment.
102EX va fi prezentată pentru prima dată pe 1 martie în cadrul Salonului Auto de la Geneva şi va face un tur al celor mai importante ţari din Europa, Orientul Mijlociu, Asia şi America.
Preşedintele Rolls Royce susţine că maşina ar putea fi produsă în serie doar dacă această metodă alternativă de propulsie nu va influenţa “experienţa autentică” specifică conducerii unui Rolls Royce cu combustie internă.
Masinile hibride sau electrice au caştigat adepti odată cu popularizarea ecologismului. Companii precum Ferrari, Audi sau Porsche s-au arătat interesate în trecut de acest segment şi chiar au prezentat vehicule cu propulsie alternativă.
Compania britanică, Rolls Royce înfiinţată în 1904, a vândut peste 2.000 de maşini la nivel mondial şi estimează o creştere importantă pe piaţa din China.",https://www.b1.ro/stiri/externe/rolls-royce-va-prezenta-la-geneva-un-prototip-100-electric-538.html,2020-03-06,
4,4,b1.ro,Contestația depusă de Sorin Oprescu la măsura arestului preventiv se va judeca pe 14 septembrie,"Contestația depusă de Sorin Oprescu la măsura arestului preventiv se va judeca la Curtea de Apel pe 14 septembrie. Până atunci, primarul general se află în arestul central al Poliției Capitalei.
Cel mai probabil, avocații îl vor vizita în arest pentru a stabili împreună strategia de apărare.
Primarul a fost arestat preventiv, fiind acuzat de către DNA de luare de mită. Procurorii l-au filat mai multe luni și au surprins imagini când acesta lua mită 25.000 de euro. Arestarea are loc în contextul în care, cu doar câteva luni înainte, un consilier al lui Oprescu a fost arestat tot pentru luare de mită.",https://www.b1.ro/stiri/eveniment/contestatia-depusa-de-sorin-oprescu-la-masura-arestului-preventiv-se-va-judeca-pe-14-septembrie-124096.html,2020-03-06,
5,5,b1.ro,"REVISTA PRESEI, Sâmbătă, 7 iulie: Suspendarea lui Traian Băsescu, tema principlă, inclusiv în tabloide. Cum a fost titrată „la cald” în online (FOTO)","ECONOMIC
SOCIAL
EXTERNE
Adevărul
Hillary Clinton, într-o vizită-surpriză la Kabul
Secretarul de stat american, Hillary Clinton, a sosit sâmbătă la Kabul, într-o vizită-supriză în ajunul unei conferinţe a donatorilor de fonduri pentru Afganistan, prevăzută să se desfăşoare la Tokyo.În cursul scurtei sale vizite, Hillary Clinton urmează să se întâlnească cu președintele Hamid Karzai.
Jurnalul Național
Anchetă internaţională pentru cauza morţii lui Yasser Arafat
Secretarul de stat american, Hillary Clinton, a sosit sâmbătă la Kabul, într-o vizită-supriză în ajunul unei conferinţe a donatorilor de fonduri pentru Afganistan, prevăzută să se desfăşoare la Tokyo.În cursul scurtei sale vizite, Hillary Clinton urmează să se întâlnească cu președintele Hamid Karzai.
În timp ce preşedintele Traian Băsescu era nevoit să treacă prin corvoada de a asculta „acuzaţiile"" aduse de USL, Elena, fata cea mică a preşedintelui, cunoscută drept EBa, îşi cumpăra un meniu copios de la un fast food McDonalds.Cursul a urcat accelerat în ultima săptămână, odată cu intensificarea aversiunii la risc a investitorilor pe fondul tensiunilor politice dintre USL şi PDL, care au culminat cu propunerea de suspendare a preşedintelui Traian Băsescu.Bitdefender, liderul pieţei locale de soluţii antivirus, informează că luni 9 iulie, mii de calculatoare ar putea rămâne fără internet ca efect al infectării cu virusul DNS Changer. Pentru a evita întreruperile utilizatorii pot folosi aplicația gratuită DNS Changer Detector care elimină efectele familiei de viruşi.În Europa, produsele eco sunt mai scumpe cu până la 46% față de cele convenționale, conform Centrului pentru Cercetare în Retail (CRR). În 2012 diferența de preț ar urma să scadă cu 13 procente, până la 40,5%.Într-o epocă a jucăriilor high-tech, cubul Rubik n-a fost parcă niciodată atât de popular. Publicaţia 24/7 Wall Street a făcut o listă cu primele 10 cele mai bine vândute produse încă de la prima apariţie pe piaţă.Retailerul austriac de mobilier kika a înregistrat, în primele șase luni ale acestui an, o creștere de 7% a vânzărilor, comparativ cu perioada similară a anului trecut, la magazinul din Militari.La scurt timp după nunta lui Mark Zuckerberg, un alt co-fondator Facebook s-a căsătorit. Este vorba despre Chris Hughes. Cei doi, alături Andrew McCollum şi David Morin - şi ei milionari care lucrează la Facebook - au făcut alegeri atipice cu privire la nunţile lor.Guvernul a calculat cheltuielile pe care urmează să le aibă cu referendumul de demitere a președintelui. 95 de milioane de lei a alocat Guverul pentru organizarea referendumului. Suma este mai mare ca cea de la referendumul din 2007 dar și secțiile vor fi mai multe, urmând să fie deschise circumscripții și în străinătateComisia Europeană (CE) a ajuns la concluzia preliminară că două contracte bilaterale încheiate între Hidroelectrica şi ArcelorMittal Galaţi constituie, probabil, ajutor de stat ilegal şi a început procedura oficială de investigare.Apartamentul de hotel ideal din Cluj are dotările Apartamentului Prezidențial de la City Plaza, ambientul înconjurător al Apartamentului 101 de la Sungarden Resort, panorama oferită de Honeymoon Suite de la Grand Hotel Italia și celebritatea apartamentelor de la Opera Plaza.Echipele de fotbal Pandurii Târgu-Jiu şi Minerul Motru au fost sponsorizate cu 8,8 mil. lei, chiar dacă SNLO nu prevăzuse sumele în bugetul de venituri şi cheltuieliComisia Naţională a Valorilor Mobiliare (CNVM) a lansat o investigaţie la SIF Muntenia (SIF4), pentru a verifica dacă este legală decizia SAI Muntenia Invest de limitare la 5% a drepturilor de vot ale unui grup de 37 de acţionari care deţin aproape 16,9% din titlurile SIF.Elevii care au dat, ieri, proba la alegere a profilului susţin că cele mai grele subiecte au fost la fizică. Biologia, dar şi probele de la profil uman nu le-au pus probleme. Odată ce au terminat cu cartea, pentru elevi a sosit vremea petrecerii.Bucureştenii sunt aşteptaţi din nou mâine la Cursa de Raţe, organizată de ProFM. La cursa de raţe de plastic s-au înscris 5.000 de bucureşteni. Rața care trece prima linia de sosire va câştiga marele premiu în valoare de 500 de euro.Universitatea Apollonia şi-a schimbat sediul administrativ din strada Păcurari nr. 11, lângă corpul E al Universităţii ""Cuza"", pe strada Muzicii nr. 2, în spate la depozitul farmaceutic Ropharma.Patru unităţi de schimb valutar şi 11 case de amanet din oraş au fost vizitate de poliţişti pentru a-i pune în gardă pe angajaţi despre cum să se păzează de infracţiunile comise cu violenţă. Oamenii legii au verificat şi buna funcţionare a sistemelor de alarmă, de televiziune cu circuit închis şi siguranţa caselor de valori.
Povestea zguduitoare a coloniei miniere Ciudanoviţa: boxul şi fotbalul au fost îngropate, iar oamenii trăiesc lîngă mormane radioactive! Ruşii au exploatat uraniu la Ciudanoviţa ca să recupereze datoria după Al Doilea Război Mondial. Ei au transformat locul într-un paradis straniu al anilor '60: două cinematografe, spital cu maternitate şi 300 de angajaţi, restaurante, trei alimentare, şapte şcoli, patru secţii sportive. Ruinele de acum. Doar că zona era încercuită şi păzită permanent. La mină lucrau 15.000 de români din toată ţara, completaţi de 2.000 de deţinuţi. Găseai blugi şi whisky, iar salariul unui miner era de zece ori mai mare decît al unui doctor!Scrutinul îi găseşte pe libieni într-o confuzie politică totală şi într-un context de securitate tensionat. Aproape trei milioane de alegători sunt aşteptaţi astăzi la urne pentru a alege membrii Parlamentului de la Tripoli, primul scrutin liber în Libia după mai bine de patru decenii sub regimul lui Muammar Gaddafi.Hugo Chavez, liderul socialist de la Caracas, a ţinut să marcheze într-un mod deosebit cea de-a 201-a aniversare a independenţei Venezuelei. Autorităţile au organizat o paradă militară somptuoasă la care au defilat şi ultimele achiziţii în materie de armament: avioane de vânătoare, elicoptere de asalt, blindate şi sisteme de apărare antiaeriană, toate de fabricaţie rusească.Liderii palestinieni doresc o anchetă internaţională privind cauzele morţii liderului istoric al Autorităţii Palestiniene Yasser Arafat, pentru a putea închide acest capitol, a declarat, joi, ministrul palestinian al Afacerilor Externe, Riyad al-Malki.",https://www.b1.ro/stiri/revista-presei/revista-presei-sambata-7-iulie-suspendarea-lui-traian-basescu-tema-principla-inclusiv-in-tabloide-cum-a-fost-titrata-la-cald-in-online-foto-32519.html,2020-03-06,
6,6,b1.ro,"Gabriel Tamaș, probleme de sănătate în arest","Vești TRISTE! Gabriel Tamaș se simte tot mai rău în arest: ""Îl doare inima, e alb ca varul și complet palid""
Gabriel Tamaș petrece a treia noapte în arest, după ce a fost prins de autoritățile israeliene în timp ce conduceea cu peste 205 kilometri pe oră, după ce consumase și băuturi alcoolice.
Tribunalul a luat decizia de a-l reține pe fotbalist la cererea poliției, astfel că acesta va rămâne în arest până la finalizarea cercetărilor.
ULUITOR! ARSENIE BOCA I-A PREZIS SFÂRȘITUL! ANAMARIA PRODAN E RĂVĂȘITĂ DE DURERE! ROMÂNIA ÎN LACRIMI
Avocatul lui Tamaș a făcut deja apel la această decizie, cerând eliberarea sa sau măcar ca arestul să fie la domiciliu, dar nu i s-a acceptat: ""Dacă ar fi fost israelian, ar fi fost deja liber și nici măcar nu era arestat la domiciliu"", este declarația acestuia, potrivit Digisport.ro.
IMAGINI NECENZURATE CU MIHAELA RĂDULESCU! PRINSĂ ÎN PAT CU UN BĂRBAT CELEBRU! AMOR NEBUN LA FERMA!
Totodată, publicația One susține că starea de sănătate a jucătorului este din ce în ce mai precară.
""E alb ca varul și complet palid"", susține publicația.
""E nevoit să doarmă într-un centru de detenție. E deja a treia noapte și nu prea a dormit, îl doare inima"", se mai arată în articolul respectiv.",https://www.b1.ro/stiri/monden/gabriel-tamas-arest-stare-de-sanatate-269238.html,2020-03-06,
7,7,b1.ro,Declarație uluitoare a ministrului Justiției. Raluca Prună: Am mințit la CEDO spunând că noi am asigurat buget pentru şapte penitenciare,"Știm că timpul tău e prețios, așa că nu te vom deranja cu știri care nu sunt știri.Abonează-te la notificările B1.ro și vei primi o selecție riguroasă a celor mai importante știri ale zilei.",https://www.b1.ro/video/declaratie-uluitoare-a-ministrului-justitiei-raluca-pruna-am-mintit-la-cedo-spunand-ca-noi-am-asigurat-buget-pentru-sapte-penitenciare-61962.html,2020-03-06,
8,8,b1.ro,"Poliţistul pedofil, suspectat în alte 15 cazuri: Acestea au avut loc din 2009 până în prezent","Știm că timpul tău e prețios, așa că nu te vom deranja cu știri care nu sunt știri.Abonează-te la notificările B1.ro și vei primi o selecție riguroasă a celor mai importante știri ale zilei.",https://www.b1.ro/video/politistul-pedofil-suspectat-in-alte-15-cazuri-acestea-au-avut-loc-din-2009-pana-in-prezent-75326.html,2020-03-06,
9,9,b1.ro,"Mihai Stoica, blocat în loja Pandurilor","Știm că timpul tău e prețios, așa că nu te vom deranja cu știri care nu sunt știri.Abonează-te la notificările B1.ro și vei primi o selecție riguroasă a celor mai importante știri ale zilei.",https://www.b1.ro/video/mihai-stoica-blocat-in-loja-pandurilor-52705.html,2020-03-06,
