,Unnamed: 0,source,title,text,url,date_published,authors
0,0,informateca.ro,Cîțu a găsit soluția la criza economică provocată de coronavirus,"
Avem specialiști, nu 15.000 ca pe vremea CDR, dar acolo de sămânță tot se găsesc.
Premierul propus Florin Cîţu a anunţat, joi, că o combinaţie între măsuri de politică fiscale şi investiţii masive în tehnologie va ajuta economia globală să recupereze, în a doua ajumătate a anului, pierderile cauzate de epidemia de coronavirus.
Cîţu a scris, joi, pe pagina sa de Facebook, o opinie personală legată de măsurile care ar trebui luate în cazul epidemiei de coronavirus, în contextul în care s-au înmulţit avertismentele legate de impactul asupra economiei globale.
”Cum ar trebui să răspundă politicile economice, fiscală şi monetară, şocului economic rezultat de pe urma epidemiei COVID-19? Răspunsul este direct legat de canalul prin care se transmite acest şoc în economie. Este un şoc care se transmite pe partea ofertei sau un şoc care se transmite pe partea cererii? Ambele?”, a scris premierul propus.El a atras atenţia că, dacă impactul este transferat în economie pe partea ofertei, asta înseamnă o reducere a producţiei.”Oamenii stau acasă şi producţia se opreşte. Am văzut acest efect în China unde în primul trimestru datele arată recesiune. Producţia scăzută înseamnă în scurt timp preturi mai mari şi tot pe termen scurt inflaţie”, a scris Cîţu.
Totodată, dacă impactul este transferat în economie pe partea cererii, atunci se vede pe termen scurt o reducerea a cererii, oamenii nu mai ies din casă şi nu mai consumă bunuri şi servici, după ce au acumulat provizii.
”Asta înseamnă pe termen scurt o reducere a preturilor, o creştere a stocurilor şi în final reducerea producţiei. O primă concluzie, în ambele cazuri producţia scade ceea ce înseamnă o creştere economica mai mică. Deja instituţiile internaţionale estimează o creştere economică mai mică la nivel global în 2020 cu aproximativ jumătate de punct procentual”, a scris premierul.
Citește și: Stephen Hawking a prezis acum 19 ani că un virus va decima omenirea",https://informateca.ro/citu-a-gasit-solutia-la-criza-economica-provocata-de-coronavirus/,2020-03-05,Octav Nicolae
1,1,informateca.ro,Chirică s-a agățat cu dinții de PNL,"
Primarul municipiului Iaşi, Mihai Chirica, susţine că va fi o decizie rapidă în PNL privind candidatura sa din partea acestui partid, adăugând p

“Înţeleg că va fi o decizie cât se poate de rapidă în interiorul PNL. Voi candida fie susţinut de PNL, dar posibil şi ca membru PNL, asta va fi decizia lor. Este o experienţă pe care vreau s-o trec cu succes. Vorbim de un parteneriat pe care l-am legat pe termen lung şi sper să fie în beneficiul ieşenilor, nu al meu“, a declarat primarul Mihai Chirica, într-un interviu la TVR Iaşi.
Întrebat dacă acceptă să devină membru PNL, Mihai Chirica a răspuns: “Dacă este conform parteneriatului pe care l-am propus, atunci da“.Surse din cadrul PNL Iaşi afirmă că la sfârşitul acestei săptămâni este programat Biroul Permanent Judeţean (BPJ) al filialei, iar în cadrul şedinţei ar urma să fie discutată venirea în partid a lui Mihai Chirica.
Citește și: PMP cere o listă unică de candidați care să garanteze ”eliminarea completă a PSD” din Primăria București",https://informateca.ro/chirica-s-a-agatat-cu-dintii-de-pnl/,2020-03-04,Octav Nicolae
2,2,informateca.ro,Firea vrea ședință CSAT despre poluarea din București,"
Gabriela Firea a solicitat preşedintelui României ca situaţia poluării din Bucureşti să fie analizată în cadrul unei şedinţe a Consiliului Suprem de Apărare a Ţării (CSAT).



„Am transmis deja o adresă către preşedintele României şi către CSAT, în care am descris şi în termeni tehnici şi administrativi ceea ce s-a întâmplat în Bucureşti în 1 şi 2 martie, în seara de duminică spre luni, şi am transmis rugămintea de a se analiza situaţia gravă din municipiul Bucureşti în cadrul unei şedinţe a CSAT. Populaţia trebuie să fie protejată şi nu ajută la nimic dacă responsabilii şi decidenţii de la Guvern aruncă responsabilitatea dintr-o parte în cealaltă. Sunt convinsă că preşedintele se va implica şi cu siguranţă vom afla care este poluatorul”, a spus primarul în cadrul unei conferinţe de presă susţinută la sediul PMB.
Ea a menţionat că nici în acest moment nu este cunoscută sursa poluării.
„Au trecut trei zile de la accidentul ecologic din Capitală şi, din păcate, nici până în acest moment, populaţia nu a fost informată cu privire la cauza acestui accident ecologic, pentru că nu considerăm că a fost o întâmplare şi nici doar un incident – de aceea spun accident. Am văzut că tentaţia este aceea ca instituţia principală responsabilă din ţară cu protecţia mediului, şi anume Ministerul Mediului, încearcă să dea vină pe alte instituţii. E şi aceasta o politică, dar nu cred că rezolvă nimic”, a mai spus Firea.",https://informateca.ro/firea-vrea-sedinta-csat-despre-poluarea-din-bucuresti/,2020-03-04,Stefan Alexiu
3,3,informateca.ro,PMP cere o listă unică de candidați care să garanteze ”eliminarea completă a PSD”...,"
Preşedintele PMP, Eugen Tomac, face un apel către liderii PNL, USR şi PLUS ca, în cel mai scurt timp, să le propună cetăţenilor o listă unică de candidaţi „care să garanteze eliminarea completă a PSD din administraţia locală a Capitalei”, transmite Agerpres.ro.

Într-o scrisoare deschisă postată marţi seara pe pagina sa de Facebook şi adresată lui Ludovic Orban, prim-ministru interimar şi preşedinte PNL, lui Dan Barna – preşedinte USR şi lui Dacian Cioloş – preşedinte PLUS, Tomac afirmă că, „în lipsa celor două tururi de scrutin pentru alegerile locale, bucureştenii aşteaptă un semnal clar din partea liderilor politici în ceea ce priveşte desemnarea unor candidaţi comuni pentru toate primăriile din Bucureşti”.
„Bucureştenii încă aşteaptă o acţiune responsabilă şi hotărâtă a liderilor de dreapta din Bucureşti. Partidul Mişcarea Populară consideră că desemnarea unui candidat unic pentru funcţia de primar general nu este suficientă pentru a scoate Capitala de sub dominaţia PSD. În lipsa celor două tururi de scrutin pentru alegerile locale, bucureştenii aşteaptă un semnal clar din partea liderilor politici în ceea ce priveşte desemnarea unor candidaţi comuni pentru toate primăriile din Bucureşti.
În acest sens, facem un apel ca, în cel mai scurt timp, să le propunem cetăţenilor o listă unică de candidaţi care să ne garanteze eliminarea completă a PSD din administraţia locală a Capitalei. Partidul Mişcarea Populară a susţinut în mod constant crearea unei astfel de coaliţii, singura care ne poate duce spre victoria sigură împotriva PSD”, scrie Eugen Tomac.",https://informateca.ro/pmp-cere-o-lista-unica-de-candidati-care-sa-garanteze-eliminarea-completa-a-psd-din-primaria-bucuresti/,2020-03-04,Radulescu Cosmin
4,4,informateca.ro,Florin Cîțu: Tot ce am negociat cu Comisia Europeană a fost acceptat,"
Florin Cîțu, ministrul interimar al Finanțelor Publice și premier desemnat, a anunțat printr-un mesaj video postat pe Facebook că începe procedura de deficit excesiv pentru România, procedură declansață de Comisia Europeană. Cîțu spune că, însă, că România a venit cu un plan bun de reducere a deficitului, acceptat în totalitate de Comisia Europeană.

„Astăzi, Comisia Europeană a publicat trei documente și a făcut un anunț cu informații pe care deja le știați: începe procedura de deficit excesiv pentru România. Este foarte bine să știți adevărul despre această informație de la ministrul Finanțelor Publice: am negociat cu Comisia Europeană în ultimele trei luni de zile și trebuie să știți că tot ce am negociat a fost acceptat.
România are un plan de reducere a deficitului sustenabil și credibil, acceptat în totalitate de Comisia Europeană, ceea ce înseamnă că experții de la Comisia Europeană au încredere în acest guvern. Așa cum am promis, facem lucruri bune pentru România”, este mesajul lui Florin Cîțu.
Strategia fiscal-bugetară pentru perioada 2020-2022, adoptată de Guvern în data de 10 decembrie 2019, prevede o ţintă de deficit de 3,8% din PIB în 2019, o cifră care potrivit Comisiei Europene constituie o dovadă a existenţei unui deficit excesiv în România, potrivit unui raport adoptat în luna februarie de Comisia Europeană. Din raport rezultă că România nu respectă criteriul deficitului definit în tratat şi că deschiderea unei proceduri de deficit excesiv este, prin urmare, justificată.
„Deficitul preconizat pentru 2019 este peste şi nu apropiat de valoarea de referinţă de 3% din PIB prevăzută în Tratat. Depăşirea nu este considerată a fi nici excepţională şi nici temporară”, se arată în raportul executivului comunitar.
Conform prognozelor de iarnă ale Comisiei, deficitul guvernamental al României a ajuns la 4% din PIB în 2019, urmând a urca la 4,9% în 2020 şi 6,9% în 2021. Majorarea deficitului este în principal rezultatul majorării pensiilor adoptată în vara lui 2019, în special o creştere de 40% a pensiilor programată pentru luna septembrie 2020, şi o nouă recalculare a pensiilor programată pentru luna septembrie 2021. În plus, între luna decembrie 2019 şi ianuarie 2020, autorităţile au adoptat noi reduceri de taxe şi au dublat alocaţiile pentru copii.",https://informateca.ro/florin-citu-tot-ce-am-negociat-cu-comisia-europeana-a-fost-acceptat/,2020-03-04,Radulescu Cosmin
5,5,informateca.ro,Ciolacu sare în apărarea Sorinei Pintea: Se aplică un odios dublu standard,"
Președintele interimar al PSD, Marcel Ciolacu, este de părere că se aplică „un odios dublu standard” în ceea ce priveşte anchetarea Sorinei Pintea şi mai spune că „spectacolul public prin care se distrug viețile unor oameni trebuia să înceteze demult”.

Ciolacu spune, miercuri, pe Facebook, că „este revoltător cum pentru unii se găsesc soluții pentru a le fi respectate drepturile, iar pentru alții, nu”.
„Ceea ce am văzut cu toții ieri în cazul Sorinei Pintea este un odios dublu standard în respectarea drepturilor fundamentale ale omului! Îmbrâncirea și târârea în cătușe pe scările spitalului a unui om aflat în suferință nu au nimic de a face cu justiția”, spune Marcel Ciolacu, conform Mediafax.


„Cine va răspunde pentru toată această umilință publică la care este supusă acum Sorina Pintea dacă, în final, va fi achitată la fel ca Ludovic Orban?!”, scrie Marcel Ciolacu.
Avocații Sorinei Pintea au depus o sesizare către Centrul de Reținere și Arestare Preventivă nr. 1 din București, reclamând faptul că fostului ministru i-au fost încălcate mai multe drepturi, că a fost expusă în situația în care se află, adusă în cătușe la medic și împinsă de un agent din escortă.


Tribunalul Bucureşti a decis, sâmbătă, arestarea preventivă pentru 30 de zile a fostului ministru al Sănătăţii, Sorina Pintea. Decizia nu este definitivă. Ea este acuzată că a luat de mită sumele de 10.000 de euro şi 120.000 lei, bani ce reprezintă un procent de 7% din valoarea unui contract.",https://informateca.ro/ciolacu-sare-in-apararea-sorinei-pintea-se-aplica-un-odios-dublu-standard/,2020-03-04,Radulescu Cosmin
6,6,informateca.ro,UDMR-istul Hunor s-a hotarât să vorbească despre intoleranța “supușilor” din Ditrău,"
Kelemen Hunor crede că ceea ce s-a întâmplat la Ditrău este regretabil şi că orice act de intoleranţă trebuie respins.

„Ce s-a întâmplat este absolut regretabil. S-a întâmplat şi în altă parte, s-a întâmplat şi în Vâlcea, şi în Cluj, dar nu a fost mediatizat. Orice astfel de act de intoleranţă trebuie respins, indiferent unde se întâmplă, indiferent din partea cui vine, indiferent dacă sunt implicaţi oameni simpli sau oameni de conducere. Deci, nu se poate accepta”, a declarat liderul UDMR.
Citiți Locuitorii din Ditrău au semnat o petiție prin care cer să nu mai fie angajați străini
Pe de altă parte, a adăugat Kelemen Hunor, nu trebuie toată comunitatea stigmatizată, fiindcă nu există nicio vină colectivă.
El a susţinut că a fost un conflict de muncă, de la care a izbucnit acest scandal, dar că, în acest moment, „lucrurile s-au calmat”.
Angajarea a doi muncitori sri-lankezi la brutăria din Ditrău, cea mai mare din zona Gheorgheni, a stârnit nemulţumirea unei părţi a locuitorilor, care au spus că le e teamă că în comună vor veni mulţi migranţi, care să le impună propria cultură şi să le pună în pericol siguranţa.
Doi proprietari de locuinţe unde au fost cazaţi muncitorii sri-lankezi au primit ameninţări de la localnici, astfel încât patronii fabricii de pâine au decis să îi mute pe aceştia la Gheorgheni.
A fost creat un grup pe Facebook care poartă numele „Migráns mentes ditrot akarunk” (Vrem un Ditrău fără migranţi), în care au fost postate multe mesaje împotriva celor doi.
Situaţia în comună a devenit tensionată, iar pe 29 ianuarie, aproximativ 200 de localnici, în frunte cu preotul capelan romano-catolic, Bíró Károly, s-au adunat pentru a cere, în şedinţa Consiliului Local, discutarea acestei probleme. Întrucât chestiunea nu era pe ordinea de zi, iar sala de şedinţe era neîncăpătoare, s-a luat decizia să se ia în discuţie aceste nemulţumiri la o adunare populară. Ulterior, în cadrul forumului, oamenii au spus că, de fapt, sunt nemulţumiţi pe patronul brutăriei, pentru că nu oferă condiţii corespunzătoare de muncă, nu acordă salarii decente şi se poartă urât cu angajaţii.
Cazul a ajuns în atenţia IPJ Harghita, care a deschis un dosar penal in rem pentru infracţiunile de incitare la ură sau discriminare, dar şi a Avocatului Poporului şi a Consiliului Naţional pentru Combaterea Discriminării.",https://informateca.ro/hunor-s-a-hotarat-sa-vorbeasca-despre-intoleranta-supusilor-din-ditrau/,2020-03-03,Stefan Alexiu
7,7,informateca.ro,Vlad Voiculescu cere USR ca la orice negociere cu liberalii să participe și PLUS,"
Vlad Voiculescu, președintele PLUS București, a cerut USR ca la viitoarele discuții ale Uniunii cu PNL să fie invitat și partidul său. Voiculescu a negat că ar fi cerut ruperea alianței PLUS cu USR, afirmând în schimb că alianța dintre ele poate opri ”o nouă ciumă, de altu culoare”, cu referire la expresia ”ciuma roșie”, folosită uneori ca o descriere a guvernării PSD.

”Citesc în presă că PLUS ar fi discutat / cerut ruperea Alianţei. Nici gând. Am cerut colegilor de la USR funcţionarea Alianţei. Am cerut ca orice negociere cu PNL să fie făcută doar în Alianţă (nu de către unul dintre partide sau de către vreun candidat independent), atât timp cât avem o alianţă”, a precizat Vlad Voiculescu într-o postare pe Facebook.


”Forţa politică constituită din USR şi PLUS este singura care poate opri un nou dezmăţ, o nouă ciumă, de data asta de altă culoare. Nu am intrat în bâlciul ăsta numit politică pentru vreo funcţie. Nu am nevoie de politică, nici eu, nici ceilalţi aproape 20.000 de membri PLUS. Vreau doar ca timpul şi energia investite aici – în Alianţa USR PLUS în ultimul an şi jumătate – să conteze. Şi nu vreau să am nimic de-a face cu felul în care s-a făcut politică până acum. Poate astăzi e destul să ne dorim să scăpăm de PSD. Mâine ne vom întreba cum am putut să cerem atât de puţin de la noi înşine”, crede Vlad Voiculescu.


El a criticat modul ”netransparent” în care s-au purtat negocierile între PNL și Nicușor Dan, spunând că ”e păcat că avem un candidat susținut de multe partide dar ales pe din dos, în spatele ușilor închise, după interesele unui șef de partid sau al altuia”.
Voiculescu a mai precizat că va candida pentru un post de Consilier General, subliniind că Alianța USR PLUS va merge mai departe.",https://informateca.ro/vlad-voiculescu-cere-usr-ca-la-orice-negociere-cu-liberalii-sa-participe-si-plus/,2020-03-03,Radulescu Cosmin
8,8,informateca.ro,Iohannis critică MAI la festivitatea de bilanț,"
Preşedintele Klaus Iohannis a declarat, marţi, că în ultimii ani activitatea MAI a demonstrat o serie de deficienţe în contextul unor situaţii precum cazul Caracal sau evenimentele de la 10 august şi a subliniat că ministerul are obligaţia de a-şi face o autoevaluare pentru a identifica măsurile pentru remedierea problemelor.

„Activitatea din ultimii ani a MAI a demonstrat o serie de deficienţe de ordin managerial, de coordonare şi chiar lipsă de profesionalism în contextul unor situaţii precum cazul Caracal sau evenimentele din 10 august. Instituţia dumneavoastră are obligaţia să-şi facă o autoevaluare profundă pentru a identifica factorii care au dus la situaţiile pe care le-am menţionat şi să ia toate măsurile necesare pentru remedierea cât mai rapidă a problemelor. Nu poate exista nicio abatere a MAI de la menirea sa fundamentală, aceea de a proteja şi apăra cetăţenii români”, a spus şeful statului la prezentarea raportului de activitate al MAI pe anul 2019.


„Obiectivul fundamental este acela ca legea să fie respectată, iar cetăţenii să se simtă în siguranţă, având deplină încredere în instituţiile care au misiunea să îi apere şi să îi protejeze. Este imperativ că factorii de decizie din cadrul MAI să conştientizeze pe deplin responsabilitatea pe care o au faţă de români şi să depună toate eforturile necesare modernizării şi eficientizării instituţiei. Trebuie să vă asiguraţi că, în toate demersurile pe care le întreprind angajaţii ministerului, sunt pe deplin respectate valori şi principii precum demnitatea, libertatea individuală, egalitatea în faţa legii, cinstea, încrederea şi toleranţa”, a mai spus Iohannis.


„În contextul actual, al combaterii răspândirii infecției cu coronavirus, vă cer să vegheați cu responsabilitate, dar și cu calm, la întărirea controlului la frontierele maritime, aeriene și terestre. Traversăm o perioadă complicată la nivel global, iar cetățenii au nevoie și de sprijinul dumneavoastră pentru a se simți în siguranță. De modul în care acționați depinde ca panica să nu se instaureze, iar românii să simtă că sunt apărați și protejați”, a mai declarat președintele.
La eveniment au participat premierul interimar Ludovic Orban şi miniştri ai Cabinetului său.",https://informateca.ro/iohannis-critica-mai-la-festivitatea-de-bilant/,2020-03-03,Radulescu Cosmin
9,9,informateca.ro,Orban: Din declarațiile celor de la USR-PLUS am înțeles că nu preferă liste comune...,"
PNL ar putea avea aceeaşi listă de candidaţi cu USR-PLUS pentru Consiliul General al Capitalei, dacă se va ajunge la o înţelegere în acest sens între cele trei formaţiuni politice, a declarat, luni, preşedintele liberalilor, Ludovic Orban, citat de Agerpres.

„Există două variante. Să fie doar susţinerea pentru Nicuşor Dan la Primăria Capitalei şi PNL şi USR-PLUS să aibă liste proprii la Consiliul General. Se poate ajunge şi la o listă comună dacă se va ajunge la o astfel de înţelegere. Într-un fel, din declaraţiile celor de la USR-PLUS am înţeles că este o preferinţă pentru varianta candidaturilor separate. Indiferent care va fi formula, ideea de bază va fi susţinerea totală a lui Nicuşor Dan la Primăria Capitalei”, a precizat Ludovic Orban la Realitatea Plus.
Orban a mai spus, în acelaşi context, că din punctul de vedere al PNL, şi la primăriile unor sectoare ar putea fi desemnaţi candidaţi unici, susţinuţi de PNL şi USR-PLUS, însă nu a dorit să dezvolte subiectul.
Totodată, preşedintele PNL a adăugat că alături de Nicuşor Dan şi celelalte formaţiuni politice care susţin candidatura acestuia la Primăria Bucureştiului, va fi realizat un program de guvernare al Capitalei.",https://informateca.ro/orban-din-declaratiile-celor-de-la-usr-plus-am-inteles-ca-nu-prefera-liste-comune-cu-pnl-la-consiliul-general-al-capitalei/,2020-03-03,Radulescu Cosmin
