,Len,Indices
0,5,"[45568, 51843, 70937, 115966, 132154]"
1,17,"[4031, 14775, 40505, 43323, 44098, 47179, 72475, 77218, 78276, 78661, 87515, 97151, 97381, 115485, 124817, 127563, 127707]"
2,9,"[21127, 24906, 31884, 61634, 65182, 79889, 91227, 107989, 116223]"
3,12,"[14573, 25676, 26916, 32325, 42899, 71463, 72984, 82720, 83882, 111267, 118119, 122476]"
4,14,"[3236, 15411, 20553, 36785, 37351, 43734, 48587, 51623, 76821, 77903, 78904, 87145, 98495, 108245]"
5,14,"[13475, 21190, 27399, 36740, 45922, 49090, 66573, 77020, 77416, 77663, 104188, 104810, 105322, 120213]"
6,6,"[16388, 29994, 51138, 54392, 69446, 112343]"
7,9,"[7614, 16459, 27014, 58934, 71068, 74562, 75819, 96497, 118999]"
8,9,"[3536, 9530, 38819, 51712, 54289, 58829, 75675, 88887, 89497]"
9,9,"[8118, 30568, 42254, 87453, 103853, 116185, 125668, 130139, 131728]"
10,17,"[11611, 20303, 27691, 34801, 44319, 59034, 61964, 73606, 80373, 91048, 94578, 100046, 101585, 116810, 116815, 128644, 132102]"
11,4,"[9041, 31836, 71626, 92045]"
12,12,"[2290, 8280, 25330, 46733, 57093, 65596, 73084, 92630, 104410, 108564, 110623, 125359]"
13,8,"[14257, 17330, 20965, 80775, 114184, 118185, 129571, 132462]"
14,14,"[12833, 16777, 18382, 18577, 36868, 55989, 58177, 71765, 82958, 99904, 116130, 119049, 130589, 132649]"
15,7,"[48516, 53871, 93943, 95060, 112229, 117450, 126231]"
16,13,"[3186, 5083, 5240, 20435, 41036, 53610, 79768, 81823, 86222, 105642, 109451, 113625, 124531]"
17,7,"[7533, 8153, 48212, 55218, 70974, 97935, 108068]"
18,17,"[10765, 15415, 16818, 30170, 46218, 46572, 46781, 51679, 63174, 78965, 104636, 107531, 112037, 118824, 127189, 128818, 130093]"
19,4,"[50526, 62166, 85127, 100327]"
20,6,"[18682, 19733, 23066, 29094, 63767, 110319]"
21,13,"[9022, 26062, 27119, 33121, 40691, 57648, 84165, 93488, 96563, 106498, 109825, 118104, 118878]"
22,12,"[1578, 10278, 21270, 34794, 40597, 52158, 61951, 65430, 80357, 110298, 128448, 128740]"
23,10,"[6128, 6411, 13765, 31135, 69816, 89070, 92963, 96823, 108192, 127963]"
24,6,"[26930, 58813, 59587, 75646, 95126, 111291]"
25,5,"[61631, 67938, 74174, 79881, 93727]"
26,12,"[479, 5603, 19431, 23803, 48497, 48690, 68953, 72558, 92129, 102479, 105608, 108367]"
27,12,"[5211, 33882, 50227, 57995, 65287, 84087, 84737, 88696, 96550, 111328, 120347, 124541]"
28,12,"[2472, 14121, 18274, 21345, 21705, 29149, 40278, 45211, 91744, 101401, 110410, 129346]"
29,9,"[7279, 15751, 31483, 48229, 55474, 70633, 79246, 90155, 131969]"
30,5,"[62487, 64845, 81156, 84131, 113879]"
31,4,"[49668, 54634, 64785, 69678]"
32,6,"[5823, 69202, 79443, 110299, 125364, 131240]"
33,10,"[44254, 55858, 61316, 62336, 64675, 70160, 71271, 80903, 90774, 111352]"
34,10,"[3882, 33435, 34564, 37630, 43689, 52257, 63430, 82403, 86859, 99282]"
35,4,"[34443, 98918, 105731, 118895]"
36,12,"[7389, 21400, 24949, 29310, 33002, 64242, 85123, 104415, 107519, 108714, 123896, 130384]"
37,10,"[2506, 14780, 36383, 44875, 85080, 85204, 85633, 97866, 120715, 122987]"
38,5,"[1351, 35252, 62971, 81869, 84587]"
39,4,"[64696, 74313, 77518, 93864]"
40,8,"[20250, 28559, 40685, 67537, 76186, 81521, 88552, 95679]"
41,10,"[1723, 17483, 36343, 41659, 53186, 65323, 100613, 107753, 114020, 126012]"
42,14,"[11151, 20045, 35421, 44052, 48488, 48797, 56728, 68196, 79419, 91234, 106611, 118752, 121214, 132921]"
43,9,"[8013, 9718, 25254, 71494, 73768, 99657, 109469, 109900, 125567]"
44,6,"[22319, 27538, 81176, 112469, 113136, 132507]"
45,24,"[1176, 13530, 14812, 20585, 22539, 27154, 45832, 52260, 54865, 59426, 64139, 69098, 76840, 83175, 89582, 96575, 96931, 106628, 107365, 109993, 117943, 120507, 125083, 129828]"
46,5,"[4646, 9400, 30631, 32278, 72857]"
47,6,"[10917, 21819, 46767, 61654, 66200, 104868]"
48,5,"[698, 2834, 43226, 99048, 120395]"
49,7,"[33825, 57713, 60479, 74973, 93591, 94468, 111743]"
50,18,"[24609, 25373, 38367, 39334, 44003, 44036, 46388, 50500, 67476, 79833, 84256, 84464, 84482, 91283, 92349, 108572, 122720, 131389]"
51,9,"[8909, 16872, 25554, 28991, 56616, 59567, 72355, 104133, 108103]"
52,12,"[15609, 31359, 32661, 61112, 70124, 74351, 79107, 89668, 89763, 115687, 116933, 131155]"
53,6,"[12120, 26345, 40378, 58799, 74870, 97493]"
54,12,"[1261, 30786, 48936, 68017, 84494, 85878, 112727, 123654, 130767, 132549, 132656, 133171]"
55,10,"[107, 22915, 35833, 48457, 57405, 62333, 63500, 108250, 122535, 127964]"
56,18,"[3537, 18729, 26714, 28769, 32977, 40118, 40321, 44734, 44761, 56557, 72002, 91154, 105461, 109248, 116201, 124082, 127396, 131386]"
57,18,"[1531, 2461, 14903, 29637, 31621, 44382, 45687, 47676, 50499, 60649, 65186, 65284, 80853, 97995, 114003, 118377, 125812, 131725]"
58,4,"[4194, 6122, 37739, 67594]"
59,6,"[19648, 35636, 63714, 82726, 82735, 102688]"
60,6,"[14603, 14610, 70367, 97671, 130381, 130409]"
61,13,"[8908, 16606, 34115, 41168, 47857, 50513, 60850, 65593, 72333, 85099, 91947, 114154, 132133]"
62,5,"[5089, 64672, 77446, 88046, 112827]"
63,31,"[21324, 25416, 31407, 41368, 47371, 55274, 61541, 72765, 74071, 79431, 79744, 80665, 81240, 84976, 85615, 89936, 91545, 92302, 99024, 99372, 100323, 107313, 116972, 118606, 122179, 122297, 125930, 127604, 128312, 128841, 131068]"
64,7,"[505, 24221, 91984, 107329, 107353, 110421, 128050]"
65,8,"[52610, 67625, 70241, 87202, 89789, 109087, 114882, 122294]"
66,5,"[6492, 29930, 50950, 85581, 115614]"
67,11,"[1988, 17733, 22958, 48367, 55637, 82648, 85200, 87574, 95459, 111013, 112227]"
68,5,"[92848, 105465, 123309, 123633, 124979]"
69,4,"[30072, 51354, 63813, 102845]"
70,7,"[16639, 26416, 28087, 32591, 93326, 94623, 110757]"
71,5,"[14856, 27479, 53761, 88335, 121798]"
72,3,"[59857, 125351, 132913]"
73,7,"[10867, 28014, 28705, 61635, 63025, 74317, 112341]"
74,16,"[10135, 15108, 40496, 47943, 51751, 57428, 65225, 79050, 95833, 98193, 98259, 98661, 104163, 117725, 123131, 126272]"
75,23,"[230, 3118, 7956, 11278, 20784, 22767, 35649, 36629, 39394, 71438, 74728, 77488, 83941, 102074, 102727, 103777, 103784, 112252, 119761, 121029, 123782, 126720, 132629]"
76,4,"[21514, 48350, 107816, 132613]"
77,8,"[13683, 27569, 35448, 35954, 44746, 50887, 82351, 124599]"
78,8,"[7444, 11203, 41268, 55601, 71661, 116199, 123769, 125622]"
79,5,"[54067, 70571, 79731, 106796, 123065]"
80,10,"[1692, 4305, 46527, 46598, 77606, 98790, 99341, 126857, 130814, 130896]"
81,6,"[2689, 7058, 33418, 59238, 70462, 107703]"
82,6,"[16965, 20860, 27048, 41774, 75163, 77104]"
83,13,"[539, 866, 1860, 9368, 10486, 22697, 42920, 49729, 52117, 56900, 88128, 92370, 109801]"
84,4,"[10452, 79506, 116905, 125387]"
85,5,"[812, 7866, 38284, 55901, 71385]"
86,12,"[4409, 6650, 14616, 35116, 35172, 46963, 47230, 62783, 78096, 119481, 130296, 131230]"
87,7,"[19194, 19282, 61449, 82449, 99213, 111072, 119852]"
88,8,"[12950, 28575, 60070, 77494, 94309, 95999, 118089, 127848]"
89,3,"[36586, 48428, 66143]"
90,6,"[17333, 17717, 19888, 38358, 120402, 126596]"
91,4,"[85524, 97449, 104678, 118226]"
92,11,"[6676, 38893, 59447, 60107, 73140, 77541, 92690, 93726, 115283, 117154, 119512]"
93,4,"[12028, 58744, 98147, 111903]"
94,7,"[10548, 31042, 32666, 47611, 88823, 116939, 119834]"
95,10,"[627, 46983, 60457, 71467, 72852, 75279, 92392, 94767, 109135, 132534]"
96,5,"[2184, 26260, 65823, 110405, 114235]"
97,5,"[20394, 34674, 46768, 83922, 131051]"
98,4,"[5536, 18893, 30909, 41935]"
99,4,"[35859, 64160, 99916, 119054]"
100,10,"[3192, 13674, 32919, 40133, 51931, 61094, 79079, 80759, 112073, 114657]"
101,9,"[12430, 35797, 38917, 43860, 55110, 89711, 95719, 128944, 131161]"
102,11,"[7808, 29601, 34052, 43244, 44483, 50415, 84459, 97804, 113970, 116789, 128869]"
103,6,"[7311, 24796, 40245, 90548, 109398, 124703]"
104,14,"[7634, 26736, 27923, 34539, 43626, 49102, 59422, 71000, 71093, 76154, 95633, 111069, 119869, 120984]"
105,4,"[306, 25386, 83527, 91445]"
106,8,"[567, 23833, 36048, 64610, 71889, 71909, 91421, 105199]"
107,7,"[5732, 17908, 23900, 28505, 54328, 68585, 123318]"
108,6,"[28605, 62808, 82159, 108063, 110123, 113134]"
109,6,"[16502, 23024, 40227, 43713, 44454, 68406]"
110,18,"[8446, 12848, 18944, 26811, 56906, 59322, 61399, 72055, 82802, 82983, 91620, 92238, 95894, 98160, 99138, 102778, 102895, 128702]"
111,11,"[18728, 23923, 31911, 33663, 53870, 56217, 61016, 68745, 83068, 116243, 131435]"
112,7,"[1182, 19502, 20236, 35825, 84423, 102758, 126465]"
113,8,"[17623, 38101, 56750, 56989, 62441, 72950, 90263, 92128]"
114,7,"[36541, 49506, 50079, 65146, 75186, 94693, 123922]"
115,8,"[12582, 31377, 39209, 42835, 95603, 113600, 115750, 123597]"
116,5,"[24532, 70360, 79254, 96598, 112130]"
117,11,"[3090, 6845, 6853, 31167, 43088, 70219, 73375, 76150, 86138, 115529, 115728]"
118,6,"[8226, 8264, 49712, 73523, 109712, 128032]"
119,9,"[29386, 49305, 78891, 78908, 79784, 95660, 113686, 126936, 130069]"
120,5,"[15995, 76255, 97298, 117753, 122200]"
121,5,"[23005, 28147, 53039, 106084, 112474]"
122,8,"[7359, 24845, 25776, 32679, 73092, 107936, 109433, 116954]"
123,4,"[5483, 53691, 53841, 88257]"
124,4,"[22447, 67136, 82702, 119955]"
125,3,"[26761, 89753, 107544]"
126,6,"[16004, 16088, 74649, 101283, 123765, 129356]"
127,20,"[9360, 13964, 24491, 29905, 31406, 44358, 44502, 58413, 60044, 72809, 77456, 80028, 85529, 92358, 99650, 102153, 116780, 117293, 118468, 128690]"
128,14,"[3982, 7960, 20227, 20762, 52815, 53160, 67825, 68161, 86940, 90929, 103251, 103750, 115948, 116121]"
129,44,"[655, 969, 1068, 2186, 5381, 16360, 18204, 19831, 26419, 28373, 29488, 37877, 45339, 45632, 46462, 46642, 48751, 48882, 49632, 51633, 51671, 54949, 55036, 58079, 62305, 66671, 66722, 70666, 74548, 77236, 79388, 79834, 80430, 81670, 81970, 84238, 88331, 100099, 101605, 101738, 113815, 117152, 119117, 131329]"
130,35,"[3059, 19081, 19117, 30037, 30053, 30100, 41989, 41993, 44958, 45008, 45009, 47329, 50750, 51255, 51400, 51420, 57280, 66488, 73280, 86073, 86093, 92764, 93100, 102131, 102137, 102175, 109594, 110403, 114446, 114505, 116799, 126309, 126330, 126346, 128706]"
131,10,"[9008, 23982, 39206, 64178, 74515, 92011, 103385, 107072, 113695, 117115]"
132,17,"[9677, 13736, 28853, 40412, 44309, 45023, 55410, 57009, 70600, 78004, 83565, 97097, 102042, 109896, 113190, 121141, 128633]"
133,6,"[11540, 33795, 77420, 98423, 118566, 123868]"
134,3,"[31713, 44288, 90810]"
135,6,"[52097, 52170, 62374, 97301, 116726, 133258]"
136,7,"[8779, 47244, 56623, 76493, 80379, 108372, 127699]"
137,4,"[4535, 20862, 64827, 67925]"
138,7,"[12007, 22507, 26536, 34614, 52204, 75500, 99433]"
139,7,"[2218, 13389, 33623, 36284, 65280, 65838, 96448]"
140,7,"[10344, 11734, 16589, 26437, 39080, 75187, 93333]"
141,11,"[12894, 21105, 36020, 43377, 43685, 44528, 61772, 76444, 80090, 118992, 128000]"
142,10,"[8543, 15445, 24689, 53157, 55570, 66511, 70826, 71989, 108723, 118590]"
143,5,"[4528, 53008, 87487, 114966, 114995]"
144,14,"[1774, 20538, 33138, 37353, 42093, 42900, 49391, 49421, 64424, 81061, 83694, 100932, 112826, 113758]"
145,5,"[11260, 42516, 54689, 58722, 74716]"
146,16,"[4767, 9424, 12709, 21507, 36363, 41189, 50438, 55827, 59243, 85794, 101168, 107553, 125686, 126021, 128388, 131648]"
147,7,"[45293, 75401, 79092, 98689, 102920, 123993, 125476]"
148,9,"[22239, 45233, 60906, 65361, 79945, 99665, 119079, 124026, 127657]"
149,10,"[8676, 44126, 51728, 53905, 68744, 72091, 86372, 104589, 106567, 116341]"
150,6,"[29188, 63956, 77980, 82998, 109176, 109810]"
151,12,"[70, 15273, 18997, 28253, 41844, 64253, 80613, 82294, 91576, 113198, 126190, 129091]"
152,18,"[2359, 6792, 7839, 9095, 10275, 25551, 35973, 49130, 57519, 67226, 70733, 72521, 86814, 92098, 104633, 109088, 113671, 120264]"
153,46,"[1414, 1837, 8927, 10098, 14806, 17610, 18165, 29653, 30359, 34251, 35477, 38300, 47585, 50031, 52277, 55701, 55913, 57403, 62438, 62565, 67267, 67270, 67321, 71004, 71260, 71284, 72372, 78720, 80742, 81273, 81643, 84972, 90781, 97891, 99936, 101295, 114073, 116159, 116336, 118529, 123932, 125639, 125774, 126030, 128190, 131843]"
154,3,"[19427, 61508, 102474]"
155,4,"[12162, 26403, 58823, 75058]"
156,6,"[9428, 16169, 27938, 28082, 72874, 94598]"
157,14,"[3555, 11361, 12247, 15679, 22346, 26240, 28409, 32576, 52659, 53456, 63479, 113288, 116859, 128223]"
